movie,year,imdb,metascore,vote
Tenet,2020.0,7.4,69.0,412923.0
The Queen's Gambit,2020.0,8.6,,345059.0
Soul,2020.0,8.1,83.0,273979.0
Wonder Woman 1984,2020.0,5.4,60.0,225754.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204379.0
The Invisible Man,2020.0,7.1,72.0,190335.0
Extraction,2020.0,6.7,56.0,177223.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156168.0
Enola Holmes,2020.0,6.6,68.0,147742.0
A Quiet Place Part II,2020.0,7.3,71.0,144527.0
The Old Guard,2020.0,6.7,70.0,144118.0
Bad Boys for Life,2020.0,6.6,59.0,142640.0
Mulan,2020.0,5.7,66.0,134059.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129321.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128983.0
Palm Springs,2020.0,7.4,83.0,126910.0
Onward,2020.0,7.4,61.0,124212.0
Dil Bechara,2020.0,8.1,,123451.0
Nomadland,2020.0,7.4,93.0,122726.0
Promising Young Woman,2020.0,7.5,73.0,121947.0
I Care a Lot,2020.0,6.3,66.0,112171.0
The Devil All the Time,2020.0,7.1,55.0,110950.0
Sonic the Hedgehog,2020.0,6.5,47.0,104412.0
Love and Monsters,2020.0,7.0,63.0,103977.0
Druk,2020.0,7.8,79.0,103182.0
Greenland,2020.0,6.4,64.0,97547.0
The Last Dance,2020.0,9.1,,95120.0
Sadak 2,2020.0,1.1,,92527.0
The Father,2020.0,8.3,88.0,89285.0
Soorarai Pottru,2020.0,9.1,,88971.0
The Hunt,2020.0,6.5,50.0,87426.0
Bridgerton,2020.0,7.3,,86169.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81921.0
The Haunting of Bly Manor,2020.0,7.4,,79364.0
Spenser Confidential,2020.0,6.2,49.0,78953.0
Dara iz Jasenovca,2020.0,8.9,,78944.0
Project Power,2020.0,6.0,51.0,78772.0
Ted Lasso,2020.0,8.7,,77445.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74537.0
The Social Dilemma,2020.0,7.6,78.0,73704.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72989.0
Hamilton,2020.0,8.4,90.0,72158.0
Coolie No. 1,2020.0,3.4,,71783.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71058.0
News of the World,2020.0,6.8,73.0,70889.0
The Outsider,2020.0,7.7,,70017.0
Paranormal,2020.0,8.5,,70006.0
Bloodshot,2020.0,5.7,44.0,68202.0
Unorthodox,2020.0,8.0,,66240.0
365 dni,2020.0,3.3,,65409.0
Mank,2020.0,6.9,79.0,65333.0
The New Mutants,2020.0,5.3,43.0,64606.0
Minari,2020.0,7.5,89.0,57840.0
Run,2020.0,6.7,67.0,57475.0
Emily in Paris,2020.0,7.0,,57225.0
Unhinged,2020.0,6.0,40.0,56380.0
Raised by Wolves,2020.0,7.6,,56138.0
Laxmii,2020.0,2.4,,55322.0
Paatal Lok,2020.0,7.8,,54358.0
Dolittle,2020.0,5.6,26.0,54019.0
Holidate,2020.0,6.1,44.0,52140.0
The King of Staten Island,2020.0,7.1,67.0,51523.0
Space Force,2020.0,6.7,,49780.0
Star Trek: Picard,2020.0,7.5,,48976.0
Locke & Key,2020.0,7.4,,48920.0
I Am Not Okay with This,2020.0,7.5,,48791.0
 The Mandalorian,2019.0,9.8,,48556.0
Normal People,2020.0,8.5,,48410.0
Ava,2020.0,5.4,39.0,48119.0
Da 5 Bloods,2020.0,6.5,82.0,47344.0
Upload,2020.0,8.0,,47166.0
Ma Rainey's Black Bottom,2020.0,6.9,87.0,45959.0
Ratched,2020.0,7.3,,45825.0
Monster Hunter,2020.0,5.3,47.0,44639.0
Panchayat,2020.0,8.8,,44366.0
Boss Level,2021.0,6.8,56.0,44241.0
Dracula,2020.0,6.8,,44063.0
The Call of the Wild,2020.0,6.8,47.0,43455.0
My Octopus Teacher,2020.0,8.1,82.0,43338.0
Pieces of a Woman,2020.0,7.1,66.0,43003.0
Hubie Halloween,2020.0,5.2,53.0,42774.0
Fantasy Island,2020.0,4.9,22.0,42627.0
Defending Jacob,2020.0,7.9,,41888.0
Honest Thief,2020.0,6.0,46.0,41656.0
Freaky,2020.0,6.4,67.0,41474.0
Emma.,2020.0,6.7,71.0,40696.0
Snowpiercer,2020.0,6.9,,40335.0
Messiah,2020.0,7.6,,40080.0
The Stranger,2020.0,7.3,,39349.0
Bill & Ted Face the Music,2020.0,6.0,65.0,39255.0
The Way Back,2020.0,6.7,66.0,39016.0
Your Honor,2020.0,7.6,,38049.0
Hillbilly Elegy,2020.0,6.7,38.0,37893.0
Never Have I Ever,2020.0,7.9,,37806.0
Rebecca,2020.0,6.0,46.0,36562.0
Asur: Welcome to Your Dark Side,2020.0,8.5,,35857.0
The Wrong Missy,2020.0,5.7,33.0,35561.0
Ludo,2020.0,7.6,,35310.0
Death to 2020,2020.0,6.8,,35051.0
The Flight Attendant,2020.0,7.1,,34956.0
Lovecraft Country,2020.0,7.1,,34923.0
Hunters,2020.0,7.2,,34417.0
Little Fires Everywhere,2020.0,7.7,,34381.0
Gunjan Saxena: The Kargil Girl,2020.0,5.3,,33613.0
Kimetsu no Yaiba: Mugen Ressha-Hen,2020.0,8.3,75.0,33365.0
To All the Boys: P.S. I Still Love You,2020.0,6.0,54.0,33191.0
His House,2020.0,6.5,72.0,33121.0
Hollywood,2020.0,7.5,,32812.0
Outer Banks,2020.0,7.6,,32479.0
The Babysitter: Killer Queen,2020.0,5.8,22.0,32194.0
Ragnarok,2020.0,7.5,,32102.0
The Half of It,2020.0,6.9,74.0,32083.0
The Croods: A New Age,2020.0,7.0,56.0,32003.0
Devs,2020.0,7.7,,31717.0
Aashram,2020.0,7.7,,31703.0
The Witches,2020.0,5.3,47.0,31428.0
#Saraitda,2020.0,6.3,,31347.0
Happiest Season,2020.0,6.6,69.0,30602.0
Escape from Pretoria,2020.0,6.8,56.0,29919.0
Mignonnes,2020.0,3.2,67.0,28969.0
David Attenborough: A Life on Our Planet,2020.0,9.0,72.0,28923.0
One Night in Miami...,2020.0,7.1,83.0,28465.0
The Courier,2020.0,7.1,65.0,28447.0
The Dissident,2020.0,7.9,81.0,28220.0
Jujutsu Kaisen,2020.0,8.7,,27656.0
Gretel & Hansel,2020.0,5.4,64.0,27596.0
On the Rocks,2020.0,6.5,73.0,27314.0
Bando,2020.0,5.5,51.0,27245.0
Possessor,2020.0,6.5,72.0,27089.0
My Spy,2020.0,6.4,46.0,27067.0
 The Mandalorian,2019.0,9.4,,26940.0
Cursed,2020.0,5.9,,26517.0
The Kissing Booth 2,2020.0,5.8,39.0,26317.0
Chhapaak,2020.0,5.1,,26129.0
Artemis Fowl,2020.0,4.2,31.0,25584.0
Special OPS,2020.0,8.6,,25490.0
Thappad,2020.0,6.8,,25212.0
Warrior Nun,2020.0,6.9,,25181.0
"Quo vadis, Aida?",2020.0,7.9,97.0,24946.0
All the Bright Places,2020.0,6.5,61.0,24932.0
The Prom,2020.0,5.9,55.0,24881.0
WolfWalkers,2020.0,8.1,87.0,24865.0
The Christmas Chronicles: Part Two,2020.0,6.0,51.0,24744.0
The Last of Us: Part II,2020.0,8.3,,24643.0
Gangs of London,2020.0,8.1,,24386.0
Kol,2020.0,7.1,,24330.0
After We Collided,2020.0,5.2,14.0,24087.0
Tanhaji: The Unsung Warrior,2020.0,7.6,,23980.0
The Rental,2020.0,5.7,62.0,23968.0
Into the Night,2020.0,7.1,,23905.0
 Shingeki no kyojin,2013.0,9.5,,23837.0
Bir Baskadir,2020.0,8.6,,23819.0
The Banker,2020.0,7.3,59.0,23776.0
Retfærdighedens ryttere,2020.0,7.6,81.0,23677.0
The Lovebirds,2020.0,6.1,59.0,23503.0
Never Rarely Sometimes Always,2020.0,7.4,91.0,23195.0
Scoob!,2020.0,5.7,43.0,23132.0
Alice in Borderland,2020.0,7.7,,23116.0
American Murder: The Family Next Door,2020.0,7.2,67.0,22948.0
 The Mandalorian,2019.0,8.9,,22795.0
Host,2020.0,6.5,73.0,22702.0
The Great,2020.0,8.1,,22643.0
The Grudge,2020.0,4.3,41.0,22609.0
Relic,2020.0,6.0,77.0,22464.0
Antebellum,2020.0,5.7,43.0,22406.0
Away,2020.0,6.6,,22396.0
 Shingeki no kyojin,2013.0,9.0,,21123.0
 Shingeki no kyojin,2013.0,9.5,,20985.0
 Dark,2017.0,9.7,,20570.0
The Stand,2020.0,5.5,,20544.0
Shadow in the Cloud,2020.0,4.9,66.0,20465.0
Barbarians,2020.0,7.2,,20441.0
Jeffrey Epstein: Filthy Rich,2020.0,7.1,,20380.0
 The Mandalorian,2019.0,9.2,,20293.0
Rise of Empires: Ottoman,2020.0,7.9,,20287.0
Sputnik,2020.0,6.4,61.0,20243.0
 Shingeki no kyojin,2013.0,9.2,,20200.0
Trolls World Tour,2020.0,6.1,51.0,19908.0
 Supernatural,2005.0,6.2,,19608.0
Let Him Go,2020.0,6.7,63.0,19592.0
An American Pickle,2020.0,5.7,58.0,19524.0
 The Mandalorian,2019.0,7.9,,19480.0
Mrs. Serial Killer,2020.0,4.8,,19408.0
Fatman,2020.0,5.9,40.0,19344.0
 The Mandalorian,2019.0,8.8,,19333.0
Lost Girls,2020.0,6.1,67.0,19279.0
Hard Kill,2020.0,3.3,,19171.0
Over the Moon,2020.0,6.4,60.0,19123.0
Justice League Dark: Apokolips War,2020.0,7.8,,19121.0
Bicchoo Ka Khel,2020.0,8.4,,19069.0
Paurashpur,2020.0,8.0,,19027.0
Love Wedding Repeat,2020.0,5.5,41.0,18993.0
Run Hide Fight,2020.0,6.4,13.0,18478.0
Capone,2020.0,4.7,46.0,18419.0
The Frog,2020.0,8.6,,18274.0
You Should Have Left,2020.0,5.4,46.0,18182.0
Operation MBBS,2020.0,8.9,,18170.0
Chhalaang,2020.0,6.8,,18141.0
Torbaaz,2020.0,6.7,,17699.0
Khuda Haafiz,2020.0,7.4,,17579.0
 The Mandalorian,2019.0,9.0,,17509.0
Miss Americana,2020.0,7.4,65.0,17505.0
The Silencing,2020.0,6.2,,17464.0
Uncle Frank,2020.0,7.3,58.0,17389.0
 The Mandalorian,2019.0,8.4,,17282.0
The War with Grandpa,2020.0,5.6,34.0,17087.0
The Empty Man,2020.0,6.1,,17030.0
Raat Akeli Hai,2020.0,7.3,,16736.0
L'incredibile storia dell'Isola delle Rose,2020.0,7.0,,16640.0
Perry Mason,2020.0,7.5,,16427.0
Jingle Jangle: A Christmas Journey,2020.0,6.5,69.0,16289.0
Archive,2020.0,6.4,67.0,16289.0
Tales from the Loop,2020.0,7.5,,16194.0
Lootcase,2020.0,7.6,,16181.0
Horse Girl,2020.0,5.9,61.0,16159.0
The Willoughbys,2020.0,6.4,68.0,16147.0
Mythic Quest: Raven's Banquet,2020.0,7.7,,16095.0
Breach,2020.0,3.0,,15956.0
I May Destroy You,2020.0,8.1,,15813.0
I Know This Much Is True,2020.0,8.2,,15749.0
Solar Opposites,2020.0,8.0,,15690.0
Kalifat,2020.0,8.2,,15641.0
Hogar,2020.0,6.4,,15639.0
Adverse,2020.0,5.2,,15626.0
White Lines,2020.0,6.6,,15611.0
Dangerous Lies,2020.0,5.3,51.0,15557.0
"Love, Guaranteed",2020.0,5.6,39.0,15495.0
Irresistible,2020.0,6.3,47.0,15453.0
 Dark,2017.0,9.6,,15366.0
The Rhythm Section,2020.0,5.3,45.0,15361.0
Angrezi Medium,2020.0,7.3,,15224.0
Killer Inside: The Mind of Aaron Hernandez,2020.0,7.4,,15094.0
Bandish Bandits,2020.0,8.7,,15061.0
Mortal Kombat Legends: Scorpion's Revenge,2020.0,7.5,,15044.0
The SpongeBob Movie: Sponge on the Run,2020.0,6.0,65.0,14956.0
Saikojiman Gwaenchanha,2020.0,8.7,,14873.0
The Wolf of Snow Hollow,2020.0,6.2,67.0,14763.0
Blood of Zeus,2020.0,7.5,,14667.0
Alone,2020.0,6.2,70.0,14582.0
The Dry,2020.0,6.9,69.0,14457.0
Becky,2020.0,5.9,54.0,14364.0
The Midnight Gospel,2020.0,8.2,,14327.0
Breathe: Into the Shadows,2020.0,7.7,,14258.0
Brahms: The Boy II,2020.0,4.7,29.0,14249.0
 Better Call Saul,2015.0,9.7,,14214.0
Dave,2020.0,8.3,,14143.0
Kajillionaire,2020.0,6.5,78.0,14068.0
 Better Call Saul,2015.0,9.8,,13985.0
Avenue 5,2020.0,6.5,,13888.0
The Last Thing He Wanted,2020.0,4.3,35.0,13879.0
Des,2020.0,7.7,,13701.0
A Fall from Grace,2020.0,5.9,34.0,13639.0
Zoey's Extraordinary Playlist,2020.0,8.1,,13577.0
The Boys in the Band,2020.0,6.8,70.0,13527.0
If Anything Happens I Love You,2020.0,7.8,,13429.0
Sala samobójców. Hejter,2020.0,7.1,61.0,13390.0
The Kid Detective,2020.0,7.0,74.0,13365.0
Dash & Lily,2020.0,7.5,,13311.0
AK vs AK,2020.0,6.9,,13297.0
The English Game,2020.0,7.6,,13072.0
The Night Clerk,2020.0,5.5,44.0,13031.0
Sweet Home,2020.0,7.4,,12920.0
Bhaukaal,2020.0,8.2,,12909.0
Stargirl,2020.0,7.3,,12903.0
La vita davanti a sé,2020.0,6.8,66.0,12894.0
Occupation: Rainfall,2020.0,5.7,,12815.0
The Wilds,2020.0,7.3,,12781.0
 BoJack Horseman,2014.0,9.9,,12765.0
Two Distant Strangers,2020.0,6.9,,12706.0
Coffee & Kareem,2020.0,5.1,35.0,12688.0
Superman: Red Son,2020.0,6.4,,12672.0
Flesh,2020.0,5.3,,12642.0
We Can Be Heroes,2020.0,4.7,51.0,12568.0
The Dark and the Wicked,2020.0,6.1,72.0,12530.0
Brave New World,2020.0,7.1,,12423.0
 Dark,2017.0,9.0,,12292.0
Ammonite,2020.0,6.5,72.0,12220.0
 Dark,2017.0,9.4,,12104.0
Like a Boss,2020.0,4.6,33.0,12076.0
Spinning Out,2020.0,7.6,,12033.0
Minamata,2020.0,7.9,51.0,12022.0
Utopia,2020.0,6.7,,12014.0
Gulabo Sitabo,2020.0,6.3,,11962.0
Black Box,2020.0,6.2,62.0,11938.0
Voces,2020.0,6.1,,11812.0
 Dark,2017.0,9.3,,11716.0
The Secret: Dare to Dream,2020.0,6.5,32.0,11630.0
"Love, Victor",2020.0,8.1,,11627.0
 The Boys,2019.0,9.5,,11561.0
The Tax Collector,2020.0,4.8,22.0,11407.0
The Turning,2020.0,3.8,35.0,11377.0
 Rick and Morty,2013.0,9.5,,11328.0
Work It,2020.0,6.1,58.0,11295.0
 Dark,2017.0,8.9,,11175.0
The One and Only Ivan,2020.0,6.6,58.0,11135.0
Truth Seekers,2020.0,7.1,,11126.0
 Dark,2017.0,9.1,,11118.0
Survive the Night,2020.0,4.1,26.0,11088.0
Downhill,2020.0,4.9,49.0,11040.0
Baaghi 3,2020.0,2.1,,11037.0
 Dark,2017.0,8.9,,10942.0
Arkansas,2020.0,6.0,55.0,10903.0
Bulbbul,2020.0,6.6,,10864.0
Inheritance,2020.0,5.5,31.0,10775.0
Godmothered,2020.0,6.1,49.0,10756.0
 Star Wars: The Clone Wars,2008.0,9.9,,10703.0
Freud,2020.0,6.5,,10701.0
El practicante,2020.0,5.6,,10622.0
 The Queen's Gambit,2020.0,9.3,,10620.0
 Star Wars: The Clone Wars,2008.0,9.9,,10590.0
Ask 101,2020.0,7.5,,10582.0
Chemical Hearts,2020.0,6.3,57.0,10571.0
The Last Days of American Crime,2020.0,3.7,15.0,10532.0
Tehran,2020.0,7.4,,10454.0
Sweet Magnolias,2020.0,7.4,,10449.0
Aarya,2020.0,7.9,,10446.0
The Walking Dead: World Beyond,2020.0,4.2,,10416.0
Ala Vaikunthapurramuloo,2020.0,7.3,,10412.0
Self Made: Inspired by the Life of Madam C.J. Walker,2020.0,7.3,,10403.0
Star Trek: Lower Decks,2020.0,7.0,,10376.0
Too Hot to Handle,2020.0,4.6,,10347.0
A Teacher,2020.0,6.9,,10305.0
Motherland: Fort Salem,2020.0,7.2,,10290.0
 Westworld,2016.0,8.3,,10236.0
Mrs. America,2020.0,7.9,,10145.0
Shiva Baby,2020.0,7.2,79.0,10105.0
I Still Believe,2020.0,6.5,41.0,10089.0
Shirley,2020.0,6.1,76.0,10068.0
Come Play,2020.0,5.7,58.0,9998.0
The Craft: Legacy,2020.0,4.4,54.0,9988.0
Alex Rider,2020.0,7.6,,9940.0
 Star Wars: The Clone Wars,2008.0,9.8,,9907.0
Love Life,2020.0,7.5,,9799.0
Operation Christmas Drop,2020.0,5.8,47.0,9793.0
Big Sky,2020.0,6.7,,9773.0
 The Queen's Gambit,2020.0,8.5,,9700.0
October Faction,2020.0,6.2,,9659.0
Love Aaj Kal,2020.0,4.7,,9658.0
The Trials of Gabriel Fernandez,2020.0,8.1,,9640.0
Feel the Beat,2020.0,6.3,,9614.0
Teenage Bounty Hunters,2020.0,7.7,,9508.0
9-1-1: Lone Star,2020.0,6.8,,9505.0
Malang - Unleash the Madness,2020.0,6.5,,9498.0
Fabulous Lives of Bollywood Wives,2020.0,4.7,,9491.0
The Nest,2020.0,6.3,80.0,9469.0
 Better Call Saul,2015.0,9.4,,9467.0
Desperados,2020.0,5.2,41.0,9430.0
Athlete A,2020.0,7.6,85.0,9384.0
Spontaneous,2020.0,6.5,78.0,9359.0
High Fidelity,2020.0,7.7,,9340.0
321 Action,2020.0,1.0,,9331.0
Force of Nature,2020.0,4.5,29.0,9318.0
Khaali Peeli,2020.0,2.3,,9276.0
The Sleepover,2020.0,5.7,46.0,9243.0
Psycho Goreman,2020.0,6.3,67.0,9216.0
 Rick and Morty,2013.0,8.1,,9121.0
Follow Me,2020.0,5.4,,9117.0
Miami Bici,2020.0,6.5,,9116.0
 The Queen's Gambit,2020.0,8.8,,9047.0
 The Boys,2019.0,9.1,,8999.0
Sergio,2020.0,6.1,55.0,8983.0
 Westworld,2016.0,8.8,,8968.0
Shakuntala Devi,2020.0,6.1,,8915.0
Vampires vs. the Bronx,2020.0,5.6,76.0,8862.0
Let Them All Talk,2020.0,6.1,72.0,8835.0
The Third Day,2020.0,6.4,,8811.0
Penny Dreadful: City of Angels,2020.0,6.0,,8794.0
The Plot Against America,2020.0,7.3,,8747.0
Hour of Lead,2020.0,5.7,,8715.0
The High Note,2020.0,6.4,58.0,8658.0
Shubh Mangal Zyada Saavdhan,2020.0,5.8,,8620.0
JL50,2020.0,7.5,,8604.0
Interreflections,2020.0,7.2,,8566.0
W lesie dzis nie zasnie nikt,2020.0,4.8,,8511.0
 Star Wars: The Clone Wars,2008.0,9.7,,8504.0
The Princess Switch: Switched Again,2020.0,5.4,,8501.0
Betaal,2020.0,5.4,,8489.0
Black Is King,2020.0,5.7,84.0,8484.0
Home Before Dark,2020.0,7.5,,8481.0
Itaewon Keullasseu,2020.0,8.2,,8441.0
Feel Good,2020.0,7.5,,8420.0
 Westworld,2016.0,8.0,,8411.0
Jawaani Jaaneman,2020.0,6.6,,8396.0
The King: Youngwonui Gunjoo,2020.0,8.2,,8384.0
Balle perdue,2020.0,6.2,78.0,8381.0
 The Boys,2019.0,9.1,,8365.0
Unsolved Mysteries,2020.0,7.3,,8356.0
Ghosts of War,2020.0,5.5,38.0,8344.0
Dark 7 White,2020.0,8.1,,8339.0
 Westworld,2016.0,7.2,,8332.0
Kadaver,2020.0,5.1,,8326.0
The Postcard Killings,2020.0,5.7,29.0,8316.0
Black Bear,2020.0,6.6,79.0,8235.0
 Westworld,2016.0,8.3,,8230.0
Tiny Pretty Things,2020.0,5.9,,8219.0
 Rick and Morty,2013.0,9.2,,8201.0
 The Queen's Gambit,2020.0,8.5,,8181.0
 The Boys,2019.0,9.1,,8178.0
 Better Call Saul,2015.0,9.4,,8138.0
Alef,2020.0,8.0,,8088.0
Biohackers,2020.0,6.8,,8066.0
The Ripper,2020.0,7.1,,8017.0
Songbird,2020.0,4.7,27.0,8017.0
Stateless,2020.0,7.6,,8014.0
Clouds,2020.0,7.5,55.0,8008.0
Jusqu'au déclin,2020.0,5.9,,7997.0
The 2nd,2020.0,3.8,,7953.0
 The Queen's Gambit,2020.0,8.5,,7937.0
 The Boys,2019.0,8.3,,7868.0
Julie and the Phantoms,2020.0,8.5,,7846.0
Penguin Bloom,2020.0,6.8,54.0,7827.0
I'm Your Woman,2020.0,6.2,63.0,7783.0
White House Farm,2020.0,7.4,,7777.0
Wander,2020.0,4.9,54.0,7772.0
Fatale,2020.0,5.4,42.0,7768.0
 The Queen's Gambit,2020.0,8.5,,7744.0
 Westworld,2016.0,8.2,,7743.0
Superintelligence,2020.0,5.4,41.0,7741.0
Ishq Mein Marjawan 2,2020.0,9.7,,7718.0
Tesla,2020.0,5.0,67.0,7711.0
Shams Al-Ma'arif,2020.0,8.0,,7707.0
Bronx,2020.0,6.1,,7682.0
 The Queen's Gambit,2020.0,8.3,,7668.0
Proximity,2020.0,4.7,38.0,7608.0
El desorden que dejas,2020.0,6.8,,7607.0
Original Gangster,2020.0,6.0,,7571.0
Mortal,2020.0,6.0,20.0,7493.0
Triggered,2020.0,5.5,48.0,7471.0
Shikara,2020.0,3.9,,7464.0
What Lies Below,2020.0,4.3,35.0,7438.0
 The Boys,2019.0,7.9,,7427.0
 Paranormal,2020.0,9.5,,7424.0
Raktanchal,2020.0,7.5,,7413.0
The Secret Garden,2020.0,5.5,59.0,7411.0
Young Wallander,2020.0,6.8,,7399.0
 Rick and Morty,2013.0,8.1,,7379.0
Nakitai watashi wa neko o kaburu,2020.0,6.7,,7372.0
 Paranormal,2020.0,8.8,,7358.0
Isi & Ossi,2020.0,6.4,,7346.0
The Dinner Party,2020.0,4.9,,7339.0
2067,2020.0,4.9,39.0,7310.0
El Agente Topo,2020.0,7.7,69.0,7307.0
V,2020.0,6.9,,7300.0
Jiu Jitsu,2020.0,2.9,27.0,7297.0
 La casa de papel,2017.0,8.2,,7297.0
Concrete Cowboy,2020.0,6.3,67.0,7294.0
AJ and the Queen,2020.0,7.5,,7275.0
 Westworld,2016.0,8.3,,7256.0
Hunter Hunter,2020.0,6.4,61.0,7221.0
Helstrom,2020.0,6.8,,7207.0
Street Dancer 3D,2020.0,3.6,,7185.0
 The Boys,2019.0,8.1,,7184.0
I Am Greta,2020.0,8.1,69.0,7183.0
 Better Call Saul,2015.0,8.9,,7177.0
 The Walking Dead,2010.0,9.1,,7172.0
9 Kere Leyla,2020.0,3.7,,7162.0
 The Boys,2019.0,8.4,,7153.0
Rogue,2020.0,4.0,,7138.0
The Comey Rule,2020.0,7.4,,7137.0
 Better Call Saul,2015.0,9.1,,7120.0
Echo Boomers,2020.0,6.1,37.0,7100.0
A California Christmas,2020.0,5.8,,7070.0
We Are Who We Are,2020.0,7.2,,7040.0
High Score,2020.0,7.4,,7029.0
Misbehaviour,2020.0,6.3,62.0,7011.0
Love & Anarchy,2020.0,7.4,,6971.0
Horizon Line,2020.0,4.7,,6947.0
A Dark Foe,2020.0,6.8,,6937.0
 Better Call Saul,2015.0,9.1,,6929.0
Run,2020.0,6.2,,6922.0
 Rick and Morty,2013.0,7.8,,6911.0
Nocturne,2020.0,5.7,58.0,6910.0
Close Enough,2020.0,7.9,,6907.0
Have a Good Trip: Adventures in Psychedelics,2020.0,6.8,44.0,6903.0
Supernova,2020.0,6.9,73.0,6903.0
 Paranormal,2020.0,9.2,,6892.0
Sightless,2020.0,5.5,,6873.0
Skylines,2020.0,4.7,46.0,6844.0
Karakomik Filmler: Deli,2020.0,6.5,,6834.0
Serious Men,2020.0,6.8,,6828.0
 Paranormal,2020.0,7.6,,6823.0
Spree,2020.0,5.9,42.0,6815.0
 Paranormal,2020.0,8.3,,6799.0
The Letter for the King,2020.0,5.9,,6770.0
 Westworld,2016.0,7.9,,6764.0
Control Z,2020.0,6.9,,6749.0
American Pie Presents: Girls' Rules,2020.0,3.8,,6734.0
 Paranormal,2020.0,8.8,,6732.0
 Better Call Saul,2015.0,8.9,,6712.0
Favolacce,2020.0,6.3,,6704.0
McMillions,2020.0,7.2,,6678.0
Crip Camp,2020.0,7.7,86.0,6645.0
Words on Bathroom Walls,2020.0,7.2,61.0,6643.0
Aiyai: Wrathful Soul,2020.0,7.1,,6643.0
Life in a Year,2020.0,6.1,,6583.0
Fear City: New York vs the Mafia,2020.0,7.1,,6509.0
Girl Lost: A Hollywood Story,2020.0,6.1,,6485.0
High,2020.0,9.0,,6484.0
Crackdown,2020.0,7.5,,6460.0
Sen Çal Kapimi,2020.0,7.5,,6428.0
Bhaag Beanie Bhaag,2020.0,3.8,,6425.0
Dorohedoro,2020.0,8.2,,6395.0
Été 85,2020.0,6.9,65.0,6388.0
Made in Italy,2020.0,5.9,44.0,6360.0
Sarileru Neekevvaru,2020.0,6.0,,6356.0
 Star Trek: Picard,2020.0,8.3,,6317.0
Quiz,2020.0,7.3,,6315.0
Seutateueob,2020.0,8.1,,6288.0
El robo del siglo,2020.0,7.2,,6288.0
 Better Call Saul,2015.0,8.7,,6281.0
I'll Be Gone in the Dark,2020.0,7.4,,6271.0
The Pharmacist,2020.0,7.7,,6269.0
 La casa de papel,2017.0,7.2,,6255.0
Chaman Bahaar,2020.0,7.0,,6237.0
The Owners,2020.0,4.9,54.0,6223.0
 The Walking Dead,2010.0,8.4,,6221.0
The Block Island Sound,2020.0,5.3,,6200.0
 Ozark,2017.0,9.5,,6186.0
Attack of the Unknown,2020.0,4.6,,6185.0
Shooting Heroin,2020.0,5.3,,6182.0
Yaara,2020.0,6.3,,6167.0
30 Monedas,2020.0,7.2,,6158.0
 La casa de papel,2017.0,7.4,,6155.0
Orígenes secretos,2020.0,6.1,,6154.0
 Better Call Saul,2015.0,8.7,,6141.0
Unpregnant,2020.0,6.3,61.0,6137.0
Deadwater Fell,2020.0,6.5,,6125.0
Paava Kadhaigal,2020.0,8.1,,6116.0
Arthur & Merlin: Knights of Camelot,2020.0,3.4,,6102.0
 La casa de papel,2017.0,6.8,,6068.0
Samantar,2020.0,8.5,,6060.0
Becoming,2020.0,6.8,66.0,6049.0
Challenger: The Final Flight,2020.0,7.9,,6018.0
The Lego Star Wars Holiday Special,2020.0,6.4,,6009.0
Criminal Justice: Behind Closed Doors,2020.0,7.5,,6008.0
 La casa de papel,2017.0,8.2,,5987.0
Come True,2020.0,5.9,68.0,5980.0
Kannum Kannum Kollaiyadithaal,2020.0,7.7,,5952.0
The Broken Hearts Gallery,2020.0,6.3,57.0,5951.0
Panga,2020.0,6.8,,5946.0
Luz,2020.0,7.1,,5942.0
Industry,2020.0,6.9,,5922.0
Kiss the Ground,2020.0,8.3,,5912.0
Anything for Jackson,2020.0,6.3,67.0,5897.0
Karakomik Filmler: Emanet,2020.0,5.6,,5873.0
Down to Earth with Zac Efron,2020.0,8.1,,5872.0
Ayyappanum Koshiyum,2020.0,8.0,,5872.0
Indoo Ki Jawani,2020.0,3.0,,5855.0
 Ozark,2017.0,9.4,,5830.0
Uncle Tom,2020.0,8.8,,5778.0
Anjaam Pathiraa,2020.0,8.0,,5758.0
Resistance,2020.0,6.4,53.0,5746.0
Save Yourselves!,2020.0,5.8,67.0,5728.0
Blackpink: Light Up the Sky,2020.0,7.5,66.0,5728.0
Impractical Jokers: The Movie,2020.0,5.8,39.0,5704.0
The Furnace,2020.0,6.7,,5700.0
Beastie Boys Story,2020.0,7.8,74.0,5694.0
Jurassic World: Camp Cretaceous,2020.0,7.6,,5690.0
Trance,2020.0,7.3,,5688.0
 Supernatural,2005.0,8.7,,5687.0
Doordarshan,2020.0,6.2,,5682.0
